mode,num_vertices,costalk_dim,seconds
vary_N,10,1,0.006476179500054968
vary_N,20,1,0.013040344499927414
vary_N,30,1,0.02108816299994487
vary_N,40,1,0.025466088499911166
vary_N,50,1,0.0316002555000523
vary_d,30,1,0.01842687000009846
vary_d,30,2,0.026876379500095027
vary_d,30,3,0.10124273749988788
vary_d,30,4,0.1043658419998792
